azimuth,declination,night,ontime,right_ascension,run_id,run_start,run_stop,source,zenith
-261.6,21.6281,20131101,293.7,5.5425,151,2013-11-02T01:59:26.000000000,2013-11-02T02:04:26.000000000,Crab,27.32
-260.64,21.6281,20131101,294.72,5.5425,152,2013-11-02T02:04:30.000000000,2013-11-02T02:09:30.000000000,Crab,26.21
-259.64,21.6281,20131101,294.63,5.5425,153,2013-11-02T02:09:34.000000000,2013-11-02T02:14:34.000000000,Crab,25.12
-258.56,21.6281,20131101,294.42,5.5425,154,2013-11-02T02:14:39.000000000,2013-11-02T02:19:39.000000000,Crab,24.02
-259.75,22.3994,20131101,294.54,5.60861,157,2013-11-02T02:21:24.000000000,2013-11-02T02:26:24.000000000,Crab,23.14
-258.64,22.3994,20131101,293.31,5.60861,158,2013-11-02T02:26:28.000000000,2013-11-02T02:31:28.000000000,Crab,22.04
-257.43,22.3994,20131101,294.3,5.60861,159,2013-11-02T02:31:33.000000000,2013-11-02T02:36:33.000000000,Crab,20.95
-256.14,22.3994,20131101,294.6,5.60861,160,2013-11-02T02:36:38.000000000,2013-11-02T02:41:38.000000000,Crab,19.87
-250.7,21.6281,20131101,294.27,5.5425,163,2013-11-02T02:43:28.000000000,2013-11-02T02:48:28.000000000,Crab,17.92
-248.85,21.6281,20131101,294.3,5.5425,164,2013-11-02T02:48:33.000000000,2013-11-02T02:53:33.000000000,Crab,16.87
-246.8,21.6281,20131101,293.07,5.5425,165,2013-11-02T02:53:37.000000000,2013-11-02T02:58:37.000000000,Crab,15.84
-244.52,21.6281,20131101,293.22,5.5425,166,2013-11-02T02:58:42.000000000,2013-11-02T03:03:42.000000000,Crab,14.82
-243.04,22.3994,20131101,294.06,5.60861,176,2013-11-02T03:10:50.000000000,2013-11-02T03:15:50.000000000,Crab,12.8
-239.99,22.3994,20131101,294.18,5.60861,177,2013-11-02T03:15:54.000000000,2013-11-02T03:20:54.000000000,Crab,11.82
-236.44,22.3994,20131101,294.0,5.60861,178,2013-11-02T03:20:59.000000000,2013-11-02T03:25:59.000000000,Crab,10.87
-232.29,22.3994,20131101,293.88,5.60861,179,2013-11-02T03:26:03.000000000,2013-11-02T03:31:03.000000000,Crab,9.97
-217.52,21.6281,20131101,293.22,5.5425,182,2013-11-02T03:33:01.000000000,2013-11-02T03:38:01.000000000,Crab,8.84
-210.74,21.6281,20131101,293.97,5.5425,183,2013-11-02T03:38:06.000000000,2013-11-02T03:43:06.000000000,Crab,8.21
-203.03,21.6281,20131101,293.79,5.5425,184,2013-11-02T03:43:10.000000000,2013-11-02T03:48:10.000000000,Crab,7.71
-194.4,21.6281,20131101,293.82,5.5425,185,2013-11-02T03:48:15.000000000,2013-11-02T03:53:15.000000000,Crab,7.35
-190.06,22.3994,20131101,293.61,5.60861,188,2013-11-02T03:55:11.000000000,2013-11-02T04:00:11.000000000,Crab,6.46
-179.57,22.3994,20131101,294.0,5.60861,189,2013-11-02T04:00:15.000000000,2013-11-02T04:05:15.000000000,Crab,6.36
-169.09,22.3994,20131101,293.52,5.60861,190,2013-11-02T04:05:20.000000000,2013-11-02T04:10:20.000000000,Crab,6.47
-159.25,22.3994,20131101,293.76,5.60861,191,2013-11-02T04:10:24.000000000,2013-11-02T04:15:24.000000000,Crab,6.78
-138.47,21.6281,20131101,294.15,5.5425,201,2013-11-02T04:22:33.000000000,2013-11-02T04:27:33.000000000,Crab,9.31
-133.17,21.6281,20131101,293.91,5.5425,202,2013-11-02T04:27:37.000000000,2013-11-02T04:32:37.000000000,Crab,10.09
-128.62,21.6281,20131101,293.97,5.5425,203,2013-11-02T04:32:42.000000000,2013-11-02T04:37:42.000000000,Crab,10.93
-124.7,21.6281,20131101,294.42,5.5425,204,2013-11-02T04:37:46.000000000,2013-11-02T04:42:46.000000000,Crab,11.83
-119.72,22.3994,20131101,294.54,5.60861,207,2013-11-02T04:44:38.000000000,2013-11-02T04:49:38.000000000,Crab,11.91
-116.72,22.3994,20131101,293.04,5.60861,208,2013-11-02T04:49:43.000000000,2013-11-02T04:54:43.000000000,Crab,12.89
-114.1,22.3994,20131101,293.85,5.60861,209,2013-11-02T04:54:47.000000000,2013-11-02T04:59:47.000000000,Crab,13.89
-111.79,22.3994,20131101,294.0,5.60861,210,2013-11-02T04:59:52.000000000,2013-11-02T05:04:52.000000000,Crab,14.92
-110.01,21.6281,20131101,294.36,5.5425,213,2013-11-02T05:06:43.000000000,2013-11-02T05:11:43.000000000,Crab,17.5
-108.27,21.6281,20131101,294.45,5.5425,214,2013-11-02T05:11:47.000000000,2013-11-02T05:16:47.000000000,Crab,18.55
-106.69,21.6281,20131101,294.81,5.5425,215,2013-11-02T05:16:52.000000000,2013-11-02T05:21:52.000000000,Crab,19.62
-105.24,21.6281,20131101,294.6,5.5425,216,2013-11-02T05:21:56.000000000,2013-11-02T05:26:56.000000000,Crab,20.69
-263.55,21.6281,20131102,295.56,5.5425,154,2013-11-03T01:44:14.000000000,2013-11-03T01:49:14.000000000,Crab,29.77
-246.24,22.3994,20131102,296.1,5.60861,180,2013-11-03T03:00:40.000000000,2013-11-03T03:05:40.000000000,Crab,14.04
-233.58,21.6281,20131102,296.34,5.5425,190,2013-11-03T03:12:48.000000000,2013-11-03T03:17:48.000000000,Crab,11.41
-229.38,21.6281,20131102,296.1,5.5425,191,2013-11-03T03:17:52.000000000,2013-11-03T03:22:52.000000000,Crab,10.54
-224.51,21.6281,20131102,295.17,5.5425,192,2013-11-03T03:22:57.000000000,2013-11-03T03:27:57.000000000,Crab,9.73
-218.83,21.6281,20131102,295.89,5.5425,193,2013-11-03T03:28:01.000000000,2013-11-03T03:33:01.000000000,Crab,8.98
-210.78,22.3994,20131102,295.41,5.60861,197,2013-11-03T03:39:56.000000000,2013-11-03T03:44:56.000000000,Crab,7.34
-153.62,21.6281,20131102,296.31,5.5425,205,2013-11-03T04:07:12.000000000,2013-11-03T04:12:12.000000000,Crab,7.9
-264.57,22.3994,20131103,294.93,5.60861,93,2013-11-04T01:47:06.000000000,2013-11-04T01:52:06.000000000,Crab,28.89
-260.14,21.6281,20131103,294.99,5.5425,103,2013-11-04T01:59:14.000000000,2013-11-04T02:04:14.000000000,Crab,25.66
